Type,BMS Address,Description,Units,Range - min,Range - max,R / W,Remarks
Analog,1,Supply temperature (Air/Ground),°C,-,-,R,Depending on source type
Analog,2,Inlet temperature Ground,°C,-,-,R,
Analog,3,Heating temperature Out,°C,-,-,R,
Analog,4,Heating temperature In,°C,-,-,R,
Analog,5,Compressor suction temperature,°C,-,-,R,
Analog,6,Compressor suction pressure (low pressure),bar,-,-,R,
Analog,7,Compressor discharge pressure (high pressure),bar,-,-,R,
Analog,8,DHW temperature,°C,-,-,R,
Analog,9,Airunit speed,%,-,-,R,
Analog,11,Outside temperature,°C,-,-,R,
Analog,12,Recirculation temperature,°C,-,-,R,Depending on installation register might be used by recirculation
Analog,13,Brine circuit pressure,bar,-,-,R,
Analog,14,Heating circuit pressure,bar,-,-,R,
Analog,15,DHW ΔT start,°C,2,25,R/W,
Analog,17,DHW set temperature,°C,0,65,R/W,
Analog,19,Pool temperature,°C,15,55,R/W,
Analog,22,Stop temperature for heating,°C,-99,99,R/W,
Analog,24,Brine minimum temperature,°C,-25,5,R/W,
Analog,25,Brine minimum pressure,bar,0.2,1.5,R/W,
Analog,26,Production minimum pressure,bar,0.2,1.5,R/W,
Analog,29,Inlet temperature air unit ,°C,-,-,R,
Analog,30,Compressor COP,-,-,-,R,
Analog,31,Compressor PF,-,-,-,R,
Analog,34,DG 1 Supply temperature heat curve bottom & maximum outdoor temp,°C,-99.9,99.9,R/W,
Analog,35,DG 1 Outdoor temperature heat curve bottom,°C,-99.9,99.9,R/W,
Analog,36,DG 1 Supply temperature heat curve top,°C,20,55,R/W,
Analog,37,SG 2 Supply temperature heat curve top,°C,0,60,R/W,
Analog,38,Floor drying  phase 1 temperature,°C,-,-,R,
Analog,39,Floor drying  phase 2 temperature,°C,-,-,R,
Analog,40,Floor drying  phase 3 temperature,°C,-,-,R,
Analog,41,Floor drying  phase 4 temperature,°C,-,-,R,
Analog,42,Recirculation Set Temperature,°C,0,60,R/W,
Analog,42,Floor drying  phase 5 temperature,°C,-,-,R,Depending on installation register might be used by recirculation
Analog,43,Recirculation. ΔT start,°C,0,20,R/W,
Analog,43,Floor drying  phase 6 temperature,°C,-,-,R,Depending on installation register might be used by recirculation
Analog,46,Aerothermal stop temperature,°C,2,20,R/W,
Analog,47,Geothermal protection minimum temperature,°C,-10,10,R/W,
Analog,50,Cooling - ΔT dew opoint,°C,-10,10,R/W,
Analog,54,DG 1 Supply Temparature Fixed Temp Cool,°C,7,55,R/W,
Analog,55,Cooling buffer ΔT start,°C,0,99.9,R/W,
Analog,58,Heating buffer ΔT start,°C,0,10,R/W,
Analog,59,DHW Set HTR temperature,°C,0,70,R/W,
Analog,60,SG 2 Supply Temparature Fixed Temp Heating,°C,0,55,R/W,
